The Twitter Tweet,"The Sentiment(Positive,Negative, or Neutral)",The Sentiment Score
"So if AfricanAmerican unemployment is now at the lowest number in history, median income the highest, and you then… tco/HNyxfnk6ar",Negative,-5
"Like many, I don’t watch Saturday Night Live (even though I past hosted it)  no longer funny, no talent or charm… tco/oaM3Pq6Gmy",Neutral,0
"NBC News incorrectly reported (as usual) that I was limiting the FBI investigation of Judge Kavanaugh, and witnesse… tco/lhsF1IAabe",Negative,-5
Thank you West Virginia  I love you tco/Ou2umCfKp9,Positive,2
tco/BxlF4grr9k,Neutral,0
"Heading to West Virginia now Big Rally Will be live on FoxNews tonight Long lines, but will be great",Negative,-6
"Senator Richard Blumenthal must talk about his fraudulent service in Vietnam, where for 12 years he told the people… tco/EAw5lZrDLJ",Negative,-3
"Just started, tonight, our 7th FBI investigation of Judge Brett Kavanaugh He will someday be recognized as a truly… tco/ORrMcJynvp",Negative,-6
"Judge Kavanaugh showed America exactly why I nominated him His testimony was powerful, honest, and riveting Democ… tco/RYPP0I2x7P",Negative,-3
tco/9o5gZlJiTd,Neutral,0
"Join me this Saturday in Wheeling, West Virginia at 7pmE Tickets tco/JyRaBps0eR tco/hiruLIxa7w",Neutral,0
RT WhiteHouse President Trump and Prime Minister Theresa May met for a bilateral meeting in New York 🇺🇸 🇬🇧 tco/VdJztUmD9T,Negative,-3
"RT WhiteHouse This afternoon, President Trump participated in a bilateral meeting with Prime Minister Abe 🇺🇸🇯🇵 tco/PvSINQY7yq",Negative,-2
"RT WhiteHouse Earlier today, President Trump participated in a bilateral meeting with Prime Minister netanyahu of Israel 🇺🇸🇮🇱 t…",Negative,-3
"Congressman Lee Zeldin is doing a fantastic job in DC Tough and smart, he loves our Country and will always be th… tco/B550BLwWtQ",Negative,-7
RT PeteHegseth This realDonaldTrump speech to the UNGA should be required viewing in American high schools A beautiful articulation of…,Negative,-4
"RT newtgingrich President Trump’s United Nations speech today is a remarkable outline of the power of patriotism, the importance of natio…",Negative,-10
"China is actually placing propaganda ads in the Des Moines Register and other papers, made to look like news That’… tco/pgamEgZq1x",Negative,-7
"Avenatti is a third rate lawyer who is good at making false accusations, like he did on me and like he is now doing… tco/w6Medqx5FF",Negative,-7
Jobless Claims fell to their lowest level in 49 years,Negative,-1
"Consumer confidence hits an 18 year high, close to breaking the alltime record A big jump from last 8 years Peop… tco/ftDZQ7LWuu",Negative,-1
The Democrats are playing a high level CON GAME in their vicious effort to destroy a fine person It is called the… tco/4Ma9JxNdi1,Negative,-5
“These law enforcement people took the law into their own hands when it came to President Trump” LindseyGrahamSC,Negative,-4
73rd Session of the United Nations General Assembly UNGA tco/xJyx7RrH5F,Negative,-2
"“Consumer confidence rose in September, notching its highest level in about 18 years The Consumer Boards index ro… tco/YwjGz4Yu1Z",Negative,-1
“Remarks by President Trump at a Luncheon Hosted by the SecretaryGeneral of the United Nations”… tco/0WT3MdNMDi,Negative,-7
“Remarks by President Trump to the 73rd Session of the United Nations General Assembly” ➡️tco/Oshhko61zY tco/Fm8LSse417,Negative,-5
Rush Limbaugh to Republicans “You can kiss the MIDTERMS goodbye if you don’t get highly qualified Kavanaugh approved”,Negative,-1
Thank you Dr Jeffress tco/cm7NjQh0ti,Positive,1
Thank you Mark tco/NVGs6WbQe2,Positive,1
tco/h43dehf0WV,Neutral,0
Will be speaking at the United Nations this morning Our country is much stronger and much richer than it was when… tco/fCqzut4mRR,Negative,-7
"Despite requests, I have no plans to meet Iranian President Hassan Rouhani Maybe someday in the future I am sure… tco/SpuT7bsm9W",Negative,-3
Republican Party Favorability is the highest it has been in 7 years  3 points higher than Democrats  Gallup,Negative,-4
"The Democrats are working hard to destroy a wonderful man, and a man who has the potential to be one of our greates… tco/t6nJYLOXbG",Negative,-11
REMEMBER THE MIDTERMS,Neutral,0
tco/FXqSWusSTV,Neutral,0
"It was my great honor to welcome President EmmanuelMacron of France to the United States, here in New York City, t… tco/BM0YaCyJrj",Negative,-8
"It was my great honor to welcome President AlsisiOfficial of Egypt to the United States this afternoon, in New Yor… tco/cOymp5g6dP",Negative,-8
Joint Statement on the United StatesKorea Free Trade Agreement tco/m0jW8nqdQW tco/lcrhsJtv00,Negative,-1
"Brett Kavanaugh and his wife, Ashley, will be interviewed tonight at 7pmE on marthamaccallum FoxNews This is an… tco/MKApmaY60q",Negative,-4
USKorea Free Trade Agreement Signing Ceremony tco/yLFkAZgagG,Neutral,0
"It was my great honor to welcome and meet with President moonriver365 Jaein of South Korea today, in New York Cit… tco/ITcUEdp62W",Negative,-8
"Today, we commit to fighting the drug epidemic together UNGA tco/XgaYTOBrSK",Negative,-1
"“Remarks by President Trump at ‘Global Call to Action on the World Drug Problem’ Event” UNGA
➡️… tco/scC5YuC5SD",Negative,-4
"RT SCEMD Now is the time to put safety first above everything else Evacuate to a shelter if you need to, take your pets with you Your l…",Negative,-6
"Prime Minster AbeShinzo is coming up to Trump Tower for dinner but, most importantly, he just had a great landslid… tco/Q5X8uH6p9M",Negative,-5
"Going to New York Will be with Prime Minister Abe of Japan tonight, talking Military and Trade We have done much… tco/vOcuOeJhDq",Negative,-6
Tiger is playing great Looks like a big win could happen Very exciting TigerWoods,Negative,-7
tco/qZSEifBNaP,Neutral,0
tco/MgkotGmkJ0,Neutral,0
New Economic Records being set on a daily basis  and it is not by accident,Negative,-6
GOD BLESS THE USA tco/n9OkDlqz11,Neutral,0
"RT RSBNetwork President realDonaldTrump absolutely packs the house at JQH Arena in Springfield, MO TrumpRally RedWave tco/1c…",Negative,-2
"RT dcexaminer We are standing up for your values, Trump said closing his rally in Springfield, Missouri We are standing up for our na…",Negative,-1
"RT juliehdavis For 2nd night in row at Trump rally (tonite in Springfield, last nite in Las Vegas), crowd spontaneously breaks into cheer…",Positive,2
"RT FoxBusiness POTUS The stock market is up 55% Your 401(k)s are up 50, 60, 70% in some cases tco/g38SD65pMW",Positive,2
"Thank you Missouri  Together, we are MAKING AMERICA GREAT AGAIN tco/onl1HmM2Gz",Neutral,0
"Thank you Missouri  I love you
tco/rx3mtd7yOy",Positive,1
Remarks by President Trump at the Signing of HR 5895 tco/tfKJJGMevo tco/7hcD22Txvy,Negative,-4
tco/hIw1AQdRpY,Neutral,0
RT W7VOA View of the line outside Las Vegas Convention Center of those waiting to get into the realDonaldTrump MAGA rally (Photos sent…,Negative,-3
RT RamonaGiwargis The crowd roars as realDonaldTrump takes the stage Says he’s thrilled to be back in Nevahda “You have to say that…,Negative,-2
"RT MikeTokes What an amazing Trump rally in Las Vegas, Nevada There must have been over 10,000 people here and trust me when I say it, w…",Negative,-3
RT MikeTokes We are outside the Trump rally in Las Vegas There are THOUSANDS of conservatives here and the line extends all the way arou…,Negative,-5
RT NVGOP Energy and excitement for President realDonaldTrump and his AmericaFirst agenda is through the roof MAGA tco/KNywCE…,Negative,-4
"RT GOP “We’re fighting every day for our factories, our ranchers, our great miners, our farmers, and we are now the largest producer of e…",Negative,-10
RT LindseyGrahamSC Great job tonight by President realDonaldTrump in Las Vegas laying out how strong America has become economically and…,Negative,-2
Promises Kept for our GREAT Veterans tco/C0h8cW4FuH,Negative,-2
"Throughout American history, the men and women of our Armed Forces have selflessly served our Country, making treme… tco/YpDhcc1Cec",Negative,-5
"Senator Feinstein and the Democrats held the letter for months, only to release it with a bang after the hearings w… tco/o5dcoCl6ZA",Negative,-7
has been asked to review these documents on an expedited basis I believe he will move quickly on this (and hop… tco/qockMaO29n,Negative,-4
I met with the DOJ concerning the declassification of various UNREDACTED documents They agreed to release them but… tco/yu3KyALbuq,Negative,-6
RT trueamerica1st realDonaldTrump tco/w7EBsA5aTT,Neutral,0
RT trueamerica1st tco/02E9bG17Mf,Neutral,0
The radical left lawyers want the FBI to get involved NOW Why didn’t someone call the FBI 36 years ago?,Negative,-4
I will Chair the United Nations Security Council meeting on Iran next week,Neutral,0
"I have no doubt that, if the attack on Dr Ford was as bad as she says, charges would have been immediately filed w… tco/4sgOHYo7kF",Negative,-8
"Judge Brett Kavanaugh is a fine man, with an impeccable reputation, who is under assault by radical left wing polit… tco/BpC6phYn0J",Negative,-6
AMERICA IS WINNING AGAIN tco/6HcBjLAAQB,Neutral,0
"Thank you Las Vegas, Nevada  I love you MAGA🇺🇸 tco/GBZO84PyQ1",Positive,2
"MAKE AMERICA GREAT AGAIN
tco/OYJUkiEUid",Neutral,0
Landing in Las Vegas now for a Make America Great Again Rally supporting DeanHeller and DannyTarkanian Also doin… tco/nlm7h6xTt6,Negative,-4
tco/LdXQb42Imc,Neutral,0
"On my way to Las Vegas, Nevada Look forward to seeing everyone tonight MAGA tco/wTeerIUJvd",Negative,-2
tco/RzqoiQ4SmD,Neutral,0
"North Korea to be identified as a result of my Summit with Chairman Kim These HEROES are home, they may Rest In… tco/z9XxPhsDnv",Negative,-7
"Army Master Sgt Charles H McDaniel, 32, of Vernon, Indiana, and Army Pfc William H Jones, 19, of Nash County, N… tco/oLmSJEZnlS",Negative,-3
Congratulations to my good friend Prime Minister AbeShinzo on his HUGE election victory in Japan I’m looking forw… tco/ghipsRro5u,Negative,-2
JayWebberNJ is running for Congress in the 11th District of New Jersey He is outstanding in every way Strong on… tco/SdtyhJODFP,Negative,-5
S&amp;P 500 HITS ALLTIME HIGH  Congratulations USA,Neutral,0
"I want to know, where is the money for Border Security and the WALL in this ridiculous Spending Bill, and where wil… tco/KHpM0VtP7I",Negative,-9
The thing that’s lacking is we can’t properly secure the Border because of the Democrats historic level of Obst… tco/7FckEVWHbo,Negative,-8
“We can’t secure the Border because of the Democrats historic level of Obstruction The Presidents fed up with this… tco/jMLAWQff90,Negative,-6
"We protect the countries of the Middle East, they would not be safe for very long without us, and yet they continue… tco/NbKeUOiQGz",Negative,-9
"Financial and jobs numbers are fantastic There are plenty of new, high paying jobs available in our great and very… tco/wB8SOnD4Qu",Negative,-8
tco/zMg2iZgriM,Neutral,0
Great new book by Jason Chaffetz appropriately called “The Deep State” Very interesting indeed,Negative,-3
Just returned to the White House from the Great States of North Carolina and South Carolina where incredible work i… tco/Ra1PAhi7qh,Negative,-8
“President Donald J Trump’s Administration is Providing Support to Those Impacted by Hurricane Florence” tco/3neafSgQ1h,Negative,-3
“North Korea recommits to denuclearization  we’ve come a long way” FoxNews,Negative,-2
"it was impossible  and then already it’s over 4%, and I expect it’s going to grow faster and faster We’re jus… tco/NudY9GFy8e",Negative,-8
“The recovery got started on Election Day 2016 It took Trump’s Tax Cuts and Regulation Cuts to get the economy boo… tco/xvIv1MDY0w,Negative,-4
"returned home to the United States Also, North and South Korea will file a joint bid to host the 2032 Olympics Very exciting",Negative,-4
"Kim Jong Un has agreed to allow Nuclear inspections, subject to final negotiations, and to permanently dismantle a… tco/9MLVjVq5fy",Negative,-5
"The Supreme Court is one of the main reasons I got elected President I hope Republican Voters, and others, are wat… tco/WUEfOytnyZ",Negative,-4
"Avanti così, tutti insieme finoallafine tco/EJdydnSDKj",Neutral,0
My clear conscious will thereby allow me to await with tranquillity the results of any and all investigations,Negative,-9
I firmly deny the accusations being issued against me Rape is an abominable crime that goes against everything tha… tco/TY8ppRl4w8,Negative,-6
"Aguardarei com tranquilidade o resultado de quaisquer investigações e processos, pois nada me pesa na consciência",Positive,1
"Nego terminantemente as acusações de que sou alvo Considero a violação um crime abjecto, contrário a tudo aquilo q… tco/7SeC7WJMvj",Negative,-3
Complimenti ragazzi per un’altra importante vittoria forzajuve tco/um9zihs1yp,Negative,-1
Grandi ragazzi tco/lEamsy4b6n,Neutral,0
"A legacy built on dreams 👍⚽ 
My new Chapter 7 ‘Built On Dreams’ Mercurial is out now at tco/F9ISEcs3Pr
—… tco/aVw5fHfJM9",Negative,-4
"Un’altra importante vittoria Avanti cosi ragazzi, tutti insieme finoallafine tco/sDcLQlAimG",Neutral,0
"Excited to continue my legacy in the new nikefootball CH 7 “Built on dreams” Mercurial 💪🏽
nikefootball… tco/wuX6jrK4VL",Negative,-3
Focused for tomorrow 👀 tco/wv0fP3vW3s,Negative,-2
Thanks EASPORTSFIFA for the World’s First copy of FIFA19 🔥 Come and join me in the Game tco/q31AiIsZsa,Negative,-3
Sono molto felice di aver segnato la mia prima doppietta con la maglia della Juve e soprattutto di aver contribuito… tco/JVPjAzMtGH,Neutral,0
Lets go Download the demo now 👉tco/SvXGmVj0J4 FIFA19 EASPORTSFIFA tco/bTxOAdmUzw,Negative,-2
Always on the ball 😉 CR7Underwear FW18 campaign out now New styles on tco/RCLtRbCAT7 tco/2D3ci3O5gz,Negative,-1
Feeling good  Let’s go 👌👌👌 tco/KcECAuFlvY,Negative,-1
"Como dizem os meus parceiros, de volta à realidade 😅trabalho feito 👌👌👌 tco/wWPSlRn8uw",Neutral,0
Vitamina D 👀👁💕🏊🏼‍♂️ tco/toRHZo9mqR,Neutral,0
"👌semana top de trabalho,equipa ganhadora🙌🙌🙌🙌🙌🙌simmm tco/69xdLESZyP",Positive,1
"Desta vez a apoiar por fora mas sempre convosco Temos objectivos pela frente Vamos, família🇵🇹 tco/OAy0ZFpFYP",Negative,-1
Two words only HARD WORK tco/sqEB0CULbP,Neutral,0
Work done 👁😘👌🚗 tco/L8oWKMWBfX,Negative,-1
Back on track👌blessed💫 tco/0cR7r54O3b,Neutral,0
"Altri tre punti Ottimo lavoro di squadra👍🏽
finoallafine tco/sxDpYR9whr",Neutral,0
Parceiros 👌👌👌 tco/0ABHEuvtXs,Neutral,0
Winning team💪🏽💪🏽 tco/vG58bJN07S,Neutral,0
"Thanks to everyone who voted for me Will never forget that moment, specially the reaction of the fans in the stadi… tco/8D9geGFfM0",Negative,-10
Abt last night 👌😉 tco/uoXal1GNqF,Positive,1
Happy Sunday 👌🧘‍♂️😘 tco/jyfkEU0voy,Neutral,0
Un’altra importante vittoria Forza ragazzi👍🏽 tco/vHjSIZL1GF,Neutral,0
Drive your performance Herbalife24 CR7Drive BehindTheResults ad tco/Aq3TYU7Qad tco/zNh6LMdIv7,Positive,1
Challenge the rules by making your own nikesportswear nikesportpack nikesportswear tco/KZ0aHL9YGB,Negative,-3
"Happy to announce I’m now a global brand ambassador for DAZN
For my fans in 🇮🇹 🇩🇪 🇯🇵 🇨🇦 🇦🇹 you can watch an exclus… tco/xDq68MihhS",Negative,-1
La famiglia bianconera finoallafine tco/lZKsURZXNY,Neutral,0
Buona Domenica🚴🏼‍♀️ 👌 tco/3e1aSmg4Pz,Neutral,0
Felice per la prima vittoria con la maglia della Juve👍🏽 tco/JiVtoQTRlh,Negative,-1
"New challenge, new wheels 
Switching it up a gear for the new season with the new Raised on Concrete Mercurial Sup… tco/3IZd7V7xyB",Negative,-3
Moments ❤️❤️ tco/aFQoNdDcOZ,Neutral,0
"Una giornata emozionante, in un’atmosfera speciale che racconta la storia vincente della Juve Grazie a tutti i tif… tco/j6gKxgxEyP",Negative,-1
"Catch my CR7 Fragance now ➡ tco/NhOavoK1nC

CR7 CristianoRonaldo Fragance MensGrooming Grooming… tco/LbDHgBEheQ",Negative,-1
Dupla vencedora 👌 tco/G1suQwIX7j,Neutral,0
"Comment 👍🏼if you’re planning on coming to a PestanaCR7 hotel this Summer
pestana pestanacr7 pestanacr7lisbon… tco/ivIARy76iP",Negative,-2
👌 tco/VbcYZBV6AO,Neutral,0
💨👌 tco/2XbtARP6n0,Neutral,0
🤔👌 tco/FhWxuCioxY,Neutral,0
Primeiro treino duro Trabalho feito👍🏽💪🏽 tco/MhHauAGPuM,Neutral,0
Inspired by your passion for the game Thank you China for another incredible experience Always believe… tco/zxbX45QjKV,Negative,-4
"Confidence in style Checking out some of my favorite Nike sneakers 💪
NikeFootball CR7 CR7Tour tco/SNQ6nIIgmH",Negative,-1
Deeply honored and excited to announce the Active Schools CR7 Sports Camp Providing access to football for kids fr… tco/pSJKXkkS4w,Negative,-3
"First stop to say hi with a few of my fans 😉👊
NikeFootball CR7 CR7Tour tco/nCjLBz0RSs",Negative,-4
"Excited to be back in China Ready to inspire the future of football 🇨🇳 ⚽️ 
NikeFootball CR7 CR7Tour tco/HxABsbmLGL",Negative,-5
Excited to be a Bianconero ⚫⚪ ForzaJuve EASPORTSFIFA FIFA19 tco/hlxDG8MmSo,Negative,-3
Advanced SIXPAD has launched in UK finally You can manage your training via your smartphone Check out the innovat… tco/HjppFqAbdk,Negative,-2
✈️✈️ See you soon China CR7TOUR NIKEFOOTBALL tco/Fr2JFUQAv9,Neutral,0
Buongiorno👌 tco/sAi72O2M5R,Neutral,0
❤️ tco/QpFgFEe4sd,Neutral,0
Momentos ❤️❤️❤️ tco/lltoPcwegK,Neutral,0
Abençoado ❤️ tco/qjFwcK5ghF,Neutral,0
Forza Juve FinoAllaFine tco/bBZ5VWdEWX,Neutral,0
Lovely moments👌🏽 tco/oliOiB2xWe,Neutral,0
Congratulation on MTG and Mr Matsushita being listed at the Tokyo Stock Exchange Mothers SIXPAD  SIXPADSTATION tco/hNC4QkgWqI,Negative,-4
❤️ tco/ad1kGpIEHN,Neutral,0
"O vosso apoio foi e sempre será fundamental para nós
Obrigado Portugal 🇵🇹 tco/qjKNNp6skN",Negative,-1
"High sleepscore ✅
Game day ready ✅  
Try out this new app today 
tco/bcfa1BItoD WhatsYourSleepScore tco/dwmu9lnVqj",Positive,1
"Happy to launch my new Mercurial Chapter 6 Edição Especial that celebrate 85 goals for 🇵🇹⚽️👍🏽
Coming soon at… tco/UQ6aPURYXz",Negative,-4
Objectivo cumprido Unidos e focados para os oitavos de final Vamos Portugal💪🏽🇵🇹 tco/fEdKbFB9X8,Neutral,0
Mood👌🇵🇹💯 tco/q43fbu6jsJ,Neutral,0
"Leaving home at 12 was the hardest thing I ever did but I believed
Believe justdoit nikefootball tco/9ZWsz95CAz",Negative,-2
🇵🇹 tco/Awb3DLFAib,Neutral,0
Vitória importante Continuamos focados no nosso objectivo⚽️🇵🇹 tco/tceQUIEfFO,Neutral,0
"WHEN I TALK TO THE BALL, IT LISTENS
 
BELIEVE JUSTDOIT NIKEFOOTBALL tco/gUSFBj26b8",Positive,1
Feliz por ter sido eleito o melhor em campo Bom trabalho de equipa🇵🇹👍🏽 tco/EjLIZxp3Dm,Neutral,0
Vamos família👍🏽🇵🇹 tco/YjfMbdx8xN,Neutral,0
Celebrating World Blood Donor Day and the start of the World Cup Feeling strong with my young blood donors team R… tco/ihAnq4wz7N,Negative,-1
"I’m so glad I went for it  it was the greatest goal I’ve ever scored
Believe justdoit nikefootball tco/iSFRsSW4nc",Negative,-4
"In my mind, there’s only one winner
 
Believe justdoit nikefootball tco/7Z1btfgSHI",Positive,1
Sonhar é humano … e somos do tamanho dos nossos sonhos MEOpt tco/8SM7UQW8Op,Neutral,0
🇵🇹💪🏽😜 tco/7jTQVbgrR7,Neutral,0
Guess who’s back on the cover of EASPORTSFIFA 😉 FIFA19 ChampionsRise 🎮⚽️🏆 tco/7jb1euX5Fu,Neutral,0
"Time to pack
Let’s do it, team ⚽
 
AmericanTourister BringBackMore tco/chjLBaU4tc",Neutral,0
Good morning🇵🇹😜 tco/ZoVWW8Xk5B,Neutral,0
Unidos 🇵🇹👌 tco/RQljR0ShqR,Neutral,0
"When you believe you achieve
nikefootball nikefootball JustDoIt tco/ptLV2VzhMx",Positive,1
Ready 🇵🇹👌 tco/8jwT3lbaAl,Neutral,0
I’m bringing together some of the coolest heroes on the planet for my very own SuperTeam Stay tuned for… tco/NjxkGECGSV,Negative,-5
Os meus bebés Eva e Mateo cumprem hoje o seu primeiro aniversário Parabéns meus queridos filhos👏🏽🎂😘😘 tco/BZuLX0OkH2,Neutral,0
The world is watching Let’s go to work HerbalifeNutrition BehindTheResults sponsored tco/HSPjsRJ7JK,Negative,-1
Vencedores 👌🏆 tco/SN3oNC8xLY,Neutral,0
"Never finished 🇵🇹 ⚽ 💪

Shop my latest Mercurial in my personal store at tco/E2zLOUFGP6 Nike… tco/DUgODwkruM",Negative,-1
"Are you donating blood and plasma regularly? Guess who could be next to you next time you donate☝🏼☝🏼 BE THE 1 
Sa… tco/AjD0DANeyT",Neutral,0
Família Momentos inesquecíveis 💪🏽❤️ tco/d9wa3tcFnb,Neutral,0
🏆❤️ tco/cNVIXvzpvk,Neutral,0
História 🌎🏆 tco/vhAitaP2Aw,Neutral,0
🏆🏆🏆🏆🏆 tco/5MhvvArz1b,Neutral,0
"Believe It Done JustDoIt

Nike NikeFootball NikeSoccer tco/HJSlxDRJI0",Neutral,0
"If you believe, why not?
NIKEFOOTBALL NIKESOCCER MERCURIAL BORNMERCURIAL JUSTDOIT tco/p0CnaLz5EH",Neutral,0
A caminho de Kiev 👌✈️ tco/2s6bxDfov1,Neutral,0
Don’t miss my sisters Elma Aveiro e KatiaAveiro at Madeira Fashion Weekend on June 2 and 3 The party goes on at… tco/BvspSy3SBg,Negative,-1
My perfect shoes for the gym💪 Nike Niketraining niketraining tco/qqtYbR1lDF,Negative,-3
Can’t wait to work with Herbalife Nutrition for another 3 years Proud to call them my partner in performance… tco/2zehRd4266,Negative,-3
Good morning ☀️ ☀️ ☀️ ☀️ tco/MTAHJKerh8,Neutral,0
👌⚽️ tco/meWZy2b9nM,Neutral,0
Paz e amor 💕 tco/IUbJ7lOqNu,Neutral,0
"We’ve made it last year in Funchal, let’s do it for Lisbon this year 
Click here tco/PfvzZ5oaCJ vote ;)… tco/YnYKGvoVP5",Neutral,0
Pleased with this great partnership with egyptiansteel ahmedabohashima A_New_Generation_Of_Steel tco/4h4OHy365u,Negative,-3
⚽️ tco/OXizqFk0PS,Neutral,0
"Muito contente por anunciar o gesto do meu amigo enriqueiglesias em doar 7⃣% das receitas do concerto em Lisboa,ao… tco/R3Hy08T6gZ",Neutral,0
👌 tco/uTmxndlUJi,Neutral,0
Back on track 👌👋💪 tco/WkhDmp8rAZ,Positive,1
"My thoughts and prayers are with you, my dear friend Be strong, Boss tco/kmih28Xpsq",Negative,-3
"Madeira Island, the place where I was born, is nominated for Europes’s Leading Island Destination Let’s all vote?… tco/XuwXKOpcmb",Negative,-4
Ready for Russia? The FIFA WorldCup comes to FIFA18 on May 29th 🎮👌 easportsfifa tco/42DLu8MXWN tco/T1VbAdifja,Negative,-2
Final 👌 tco/A0xnTPUPKH,Neutral,0
"The perfect boot for my biggest matches ⚽ 💪
Get yours on tco/Td9BJOXwaj Mercurial Nikefootball tco/yU9dTFXuHo",Negative,-1
Soon UCL ⚽️ tco/BsVWt5toQw,Neutral,0
Vamos equipo👍🏽 tco/73bMhzwxEk,Neutral,0
Chill in my hotel with my baby❤️ tco/ySPQ9BP566,Neutral,0
Relaxing 👌 tco/fcFt2AGsBH,Neutral,0
⚽️👀 tco/1wY275ywgr,Neutral,0
O Cristiano foi o melhor marcador da escola Parabéns filho👏🏽🔝👌🏽 tco/pRTxLdkxNO,Neutral,0
Congratulations egyptiansteel for the opening in “Al Ain Al Sokhna”using the newest ecofriendly technology in the… tco/6Jrk1sozcK,Negative,-2
Please support able2uk today as the disabled awareness organisation celebrates its 17th anniversary able2uk,Negative,-4
Vamos equipo👍🏽 tco/6v0jEZaX8T,Neutral,0
👌 tco/bTFbcvVFhw,Neutral,0
"Preparing my suitcase for a new trip  Which colors look best on me?
Travel in style with AmericanTourister… tco/dHbNDGIVQx",Negative,-2
Vamos equipo👍🏽⚽️⚽️⚽️ tco/NXoulxYVjU,Neutral,0
UCL⚽️ tco/FmU9tDJCzC,Neutral,0
Feliz Páscoa🐣 tco/l77dlVmyhR,Neutral,0
Double trouble ;p cr7underwear tco/1HGbZRwrPB,Neutral,0
Results don’t happen overnight It takes daily commitment Watch my BehindTheResults video with HerbalifeNutrition tco/1jwQxJIfmv,Negative,-2
🇵🇹 tco/VetQvKxFAs,Neutral,0
🇵🇹 tco/b0SUaPwbdU,Neutral,0
🇵🇹 tco/vknrvyNRW1,Neutral,0
"Fight as one, rise together ⚽
The new Portugal National Team Collection, available on
March 23rd on… tco/jrCUzseIWh",Neutral,0
⚽️7 tco/rvYAhaDLN7,Neutral,0
Vamos Equipo👍🏽💪🏽 tco/8BTu6Fwsvw,Neutral,0
😂😂 tco/mcoAIPPWgm,Neutral,0
"Dedicated SINCE the Beginning BornMercurial
Get THE Mercurial superFly 360 now at tco/pzHBG6y9o5 tco/497HZTdNeB",Negative,-3
"Hola Madrid,
we are on the way pestana pestanacr7 cr7 2019 pestanacr7madrid spain madrid tco/Z94V4BaVba",Negative,-2
⚽️ tco/LcWYOyOR0m,Neutral,0
Be strong Have faith Never give up  7WordsForSyria SavetheChildren tco/WjGltzXhSV,Neutral,0
Still legendary together 10 years and counting ClearMen WorldNo1MenShampoo tco/9n5Ccwy3DE,Negative,-2
That feeling when you reach your goal 💪 See how herbalife is helping people achieve their goals… tco/UG2amgrD7V,Negative,-2
Vamos Equipo👍🏽💪🏽 tco/TU1TkArQ8W,Neutral,0
Fast meets Fast ⚡ Great to meet you brother bornmercurial mercurial nikefootball tco/Kfp3acbLRm,Positive,1
My SS18 CR7 Underwear campaign launches today Go to tco/D3TT7ERIz0 to check it out ;) tco/mnsPjMaewI,Negative,-1
My SS18 CR7Underwear campaign launches today Go to tco/Vlium6FXZ6 to check it out ;) tco/hnQg3EGb0N,Negative,-1
Una victoria importante en Paris Vamos Equipo💪🏽 tco/hOPilXXUgN,Neutral,0
Lets go 💪👌 tco/H0KgDnfECO,Neutral,0
⚽️ tco/qm0fUiOjLb,Neutral,0
Vamos equipo👍🏽 tco/mJ9lu3xufv,Neutral,0
🐆 bornmercurial tco/Ce55ar3ysT,Neutral,0
💪Jr say daddy Im gonna be like you What do you think?? 😂🤔 tco/wL7KVyCkaF,Positive,1
To more mornings like this at my PestanaCR7 Lisbon hotel tco/NBouh25NXH,Negative,-1
⚽️ tco/kGyIW7xvrE,Neutral,0
Feliz por haber alcanzado los 300 goles en la Liga Española por el Real Madrid Vamos equipo👍🏽 tco/KBizM5OTdb,Neutral,0
Best of luck to Egyptian_Steel latest additionThe soon to open “AL AIN AL SOKHNA” steel plant ahmedabohashima… tco/4zHRAVzIib,Negative,-4
"Try to Keep Up 🐆 BornMercurial
 
Introducing the Mercurial Superfly 360, available February 26 at… tco/0CwkXBl1v2",Negative,-2
Love is in the air ❤️❤️ tco/cwyBIQNaBQ,Negative,-1
"Juntos, a seguir luchando💪🏽 tco/WJuUOD84ko",Negative,-1
One 🌍 where we all ❤ our children Please help Rohingya Refugee SavetheChildren  tco/t2eJN244Jl tco/9ZPwe5olJC,Negative,-1
Vamos equipo👍🏽💪🏽 tco/Z1Hon6cihl,Neutral,0
I love this game 😂😄❤️😉 tco/6k3CElTIy1,Positive,1
Nice to see you bro 👌💪 tco/MMqLZDsEgJ,Neutral,0
Me and my boy 💙 Rocking our cr7limitless &amp; cr7junior gear | tco/rIL6OxcBQk CR7Denim CR7Jeans CR7Squad tco/wGuGCAP2mg,Neutral,0
bornmercurial nikefootball tco/ugnl0Ef6Xb,Neutral,0
NovaFotoDoPerfil tco/36nZtKDiMQ,Neutral,0
"Thanks Nike for this amazing birthday gift🎁👟👌🏽🔝
24kgold AF1 CR7 tco/LYDy58Vs13",Negative,-2
Job done with a special partner on my birthday💪🏽❤️livelifefit tco/4hGRRssTZv,Negative,-4
33🎂🥂Thank you all for your birthday messages tco/YUJGDZCsAe,Neutral,0
"Not bad for my first time playing football 💪🏼 
tco/oAaLFOnMn8",Negative,-1
NovaFotoDoPerfil tco/XrUiPnpEqk,Neutral,0
👌 tco/saZsfm4Qrp,Neutral,0
New jersey Thoughts? 😉 Ad tco/7icciDe4UR,Positive,1
CR7Fragrance the perfect scent for Valentines day tco/gNubub7SDE,Negative,-1
❤️❤️❤️ tco/Njzma7SeyY,Neutral,0
Denim on denim 👖 living in my CR7 jeans 👌 Get yours now on tco/rIL6OwV0rK cr7limitless CR7Denim CR7Jeans tco/pc6ippbitm,Positive,1
